"EventId","StartTime","EndTime","EventType","Source","State"
"62400","2007-10-01T07:48:00Z","2007-10-01T08:03:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"62403","2007-10-06T12:51:00Z","2007-10-06T13:06:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"62913","2007-10-08T14:10:00Z","2007-10-08T14:25:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"64338","2007-10-08T15:31:00Z","2007-10-08T15:46:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"64339","2007-10-09T17:27:00Z","2007-10-09T17:41:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"64340","2007-10-10T17:01:00Z","2007-10-10T17:16:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"62319","2007-10-12T11:05:00Z","2007-10-12T11:15:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"62320","2007-10-12T11:30:00Z","2007-10-12T11:39:00Z","Waterspout","ASOS","ATLANTIC SOUTH"
"61033","2007-10-13T12:15:00Z","2007-10-13T12:15:00Z","Waterspout","Newspaper","ATLANTIC SOUTH"
"63199","2007-10-16T16:20:00Z","2007-10-16T16:35:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"63201","2007-10-21T14:41:00Z","2007-10-21T14:56:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"62065","2007-11-06T16:17:00Z","2007-11-06T16:32:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"64751","2007-11-14T09:34:00Z","2007-11-14T09:49:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"66169","2007-11-14T10:50:00Z","2007-11-14T11:10:00Z","Waterspout","Trained Spotter","ATLANTIC SOUTH"
"66170","2007-11-14T11:10:00Z","2007-11-14T12:10:00Z","Waterspout","Trained Spotter","ATLANTIC SOUTH"
"64752","2007-11-18T16:22:00Z","2007-11-18T16:37:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"64753","2007-11-19T13:50:00Z","2007-11-19T14:05:00Z","Waterspout","NWS Employee","ATLANTIC SOUTH"
"65119","2007-11-28T14:55:00Z","2007-11-28T15:10:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"66278","2007-12-07T11:25:00Z","2007-12-07T11:30:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"66284","2007-12-20T09:05:00Z","2007-12-20T09:15:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"66286","2007-12-20T11:15:00Z","2007-12-20T11:30:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
